test_row,ensemble_probability,shap_base_value,sum_shap_values,reconstructed_probability,absolute_reconstruction_error
81,0.1911812079099986,0.2002737159826043,-0.009092508072605681,0.19118120790999862,2.7755575615628914e-17
82,0.0019766853327889,0.2002737159826043,-0.198297030649815,0.001976685332789302,4.0202216555762504e-16
83,0.9847200728431176,0.2002737159826043,0.7844463568605131,0.9847200728431174,2.220446049250313e-16
84,0.0430356445173991,0.2002737159826043,-0.1572380714652051,0.04303564451739919,9.020562075079397e-17
85,0.0007019327819768,0.2002737159826043,-0.19957178320062735,0.0007019327819769439,1.4387362828882644e-16
86,0.0001545580232011,0.2002737159826043,-0.20011915795940327,0.00015455802320102352,7.649046326885234e-17
87,0.0001288773120441,0.2002737159826043,-0.20014483867056018,0.00012887731204411224,1.2224379494774062e-17
88,0.0003027312714047,0.2002737159826043,-0.19997098471119992,0.0003027312714043717,3.2829641782861074e-16
89,0.0645615117194697,0.2002737159826043,-0.13571220426313432,0.06456151171946997,2.7755575615628914e-16
90,9.017451853251724e-05,0.2002737159826043,-0.20018354146407166,9.017451853263192e-05,1.1468148479465423e-16
91,0.9419569370403966,0.2002737159826043,0.7416832210577927,0.9419569370403971,4.440892098500626e-16
92,0.0001412767036066,0.2002737159826043,-0.2001324392789974,0.0001412767036068907,2.907017074976759e-16
93,0.001294798738049,0.2002737159826043,-0.19897891724455508,0.0012947987380492187,2.187919984075748e-16
94,0.0005085764718064,0.2002737159826043,-0.19976513951079758,0.0005085764718067154,3.1539441197603324e-16
95,0.0002794443352752,0.2002737159826043,-0.19999427164732908,0.00027944433527521406,1.4040418133687282e-17
96,0.981690488703469,0.2002737159826043,0.7814167727208633,0.9816904887034676,1.3322676295501878e-15
97,0.000181666505566,0.2002737159826043,-0.20009204947703824,0.00018166650556605823,5.822165666247159e-17
98,0.0756221492215497,0.2002737159826043,-0.12465156676105442,0.07562214922154988,1.8041124150158794e-16
99,0.9807731177034232,0.2002737159826043,0.7804994017208181,0.9807731177034225,7.771561172376096e-16
100,0.0002897157922646,0.2002737159826043,-0.19998400019033974,0.00028971579226455546,4.456070928915423e-17
101,0.0001418208073132,0.2002737159826043,-0.20013189517529098,0.00014182080731331426,1.1424780392566003e-16
102,0.0001241654137791,0.2002737159826043,-0.20014955056882527,0.00012416541377902046,7.952622935181175e-17
103,0.0001285237619233,0.2002737159826043,-0.20014519222068072,0.0001285237619235713,2.7129448861018535e-16
104,0.0001059650413793,0.2002737159826043,-0.2001677509412248,0.00010596504137949658,1.9657940639877802e-16
105,0.0001064136950198,0.2002737159826043,-0.2001673022875844,0.00010641369501990239,1.0238934266409982e-16
106,0.0001343039036973,0.2002737159826043,-0.20013941207890684,0.0001343039036974525,1.524930355600862e-16
107,0.0001059572386518,0.2002737159826043,-0.20016775874395226,0.00010595723865203244,2.324393932537361e-16
108,0.000134353248918,0.2002737159826043,-0.20013936273368627,0.0001343532489180288,2.881267273380228e-17
109,0.000136115500404,0.2002737159826043,-0.20013760048220003,0.0001361155004042658,2.657921625848214e-16
