configuration,split_seed,validation_seed,model_seed,xgb_weight,lgbm_weight,accuracy,precision,recall,macro_f1,auc_roc,auc_pr,brier_score,tn,fp,fn,tp,partition_index
Cell_A_primary_50_50_without_attendance_decay,92,93,50,0.5,0.5,0.9714285714285714,0.875,0.9333333333333333,0.94323301495765,0.9925925925925926,0.9551544207426559,0.026075670700440902,88,2,1,14,5
Cell_A_primary_50_50_without_attendance_decay,92,93,51,0.5,0.5,0.9714285714285714,0.875,0.9333333333333333,0.94323301495765,0.9925925925925926,0.9551544207426559,0.026471814481383315,88,2,1,14,5
Cell_A_primary_50_50_without_attendance_decay,102,103,42,0.5,0.5,0.9553571428571429,0.9166666666666666,0.88,0.9346938775510204,0.9921839080459771,0.9779435424478903,0.027301345556902428,85,2,3,22,6
Cell_A_primary_50_50_without_attendance_decay,102,103,43,0.5,0.5,0.9553571428571429,0.9166666666666666,0.88,0.9346938775510204,0.991264367816092,0.9769322145944572,0.02800667876557898,85,2,3,22,6
Cell_A_primary_50_50_without_attendance_decay,102,103,44,0.5,0.5,0.9642857142857143,0.92,0.92,0.9485057471264369,0.9917241379310344,0.976821363125711,0.02666275858462644,85,2,2,23,6
Cell_A_primary_50_50_without_attendance_decay,102,103,45,0.5,0.5,0.9642857142857143,0.92,0.92,0.9485057471264369,0.991264367816092,0.9754538417581896,0.027629935723203682,85,2,2,23,6
Cell_A_primary_50_50_without_attendance_decay,102,103,46,0.5,0.5,0.9642857142857143,0.92,0.92,0.9485057471264369,0.9917241379310344,0.97801488747713,0.02745043041547642,85,2,2,23,6
Cell_A_primary_50_50_without_attendance_decay,102,103,47,0.5,0.5,0.9642857142857143,0.9565217391304348,0.88,0.946969696969697,0.991264367816092,0.9773401236444716,0.02679711946316194,86,1,3,22,6
Cell_A_primary_50_50_without_attendance_decay,102,103,48,0.5,0.5,0.9642857142857143,0.92,0.92,0.9485057471264369,0.9908045977011494,0.974742604204847,0.02746108816849006,85,2,2,23,6
Cell_A_primary_50_50_without_attendance_decay,102,103,49,0.5,0.5,0.9642857142857143,0.92,0.92,0.9485057471264369,0.992183908045977,0.9798330692953118,0.026432924973406813,85,2,2,23,6
Cell_A_primary_50_50_without_attendance_decay,102,103,50,0.5,0.5,0.9642857142857143,0.92,0.92,0.9485057471264369,0.9908045977011495,0.9753775248397676,0.027638762433710735,85,2,2,23,6
Cell_A_primary_50_50_without_attendance_decay,102,103,51,0.5,0.5,0.9642857142857143,0.92,0.92,0.9485057471264369,0.9926436781609196,0.9794768757812238,0.027442682972851042,85,2,2,23,6
Cell_A_primary_50_50_without_attendance_decay,112,113,42,0.5,0.5,0.9537037037037037,0.8214285714285714,1.0,0.9358288770053476,0.9872122762148338,0.9393433163611138,0.0378991236065971,80,5,0,23,7
